sentimen,tweet,normalized_tweet,clean_tweet,char_len,word_len,tweet_tokenized,tweet_no_stopwords,tweet_stemmed,tweet_process
positif,ps bilang didebat keadaan ekonomi indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. jd utk penggemar 02 jangan salahkan jokowi lagi ya krn bosmu udah bilang itu bukan salah jokowi.  semakin mantap pilih @jokowi. #prabowosalahkansby,PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  Semakin mantap pilih @jokowi. #PrabowoSalahkanSBY,ps bilang didebat keadaan ekonomi indonesia saat ini bukan salah jokowi tp salah pemimpin terdahulu jd utk penggemar  jangan salahkan jokowi lagi ya krn bosmu udah bilang itu bukan salah jokowi  semakin mantap pilih jokowi prabowosalahkansby,241,36,"['ps', 'bilang', 'didebat', 'keadaan', 'ekonomi', 'indonesia', 'saat', 'ini', 'bukan', 'salah', '@', 'jokowi', 'tp', 'salah', 'pemimpin2', 'terdahulu', '.', 'jd', 'utk', 'penggemar', '02', 'jangan', 'salahkan', 'jokowi', 'lagi', 'ya', 'krn', 'bosmu', 'udah', 'bilang', 'itu', 'bukan', 'salah', 'jokowi', '.', 'semakin', 'mantap', 'pilih', '@', 'jokowi', '.', '#', 'prabowosalahkansby']","['ps', 'bilang', 'didebat', 'ekonomi', 'indonesia', 'salah', '@', 'jokowi', 'tp', 'salah', 'pemimpin2', '.', 'jd', 'utk', 'penggemar', '02', 'salahkan', 'jokowi', 'ya', 'krn', 'bosmu', 'udah', 'bilang', 'salah', 'jokowi', '.', 'mantap', 'pilih', '@', 'jokowi', '.', '#', 'prabowosalahkansby']","['ps', 'bilang', 'debat', 'ekonomi', 'indonesia', 'salah', '', 'jokowi', 'tp', 'salah', 'pemimpin2', '', 'jd', 'utk', 'gemar', '02', 'salah', 'jokowi', 'ya', 'krn', 'bos', 'udah', 'bilang', 'salah', 'jokowi', '', 'mantap', 'pilih', '', 'jokowi', '', '', 'prabowosalahkansby']",ps bilang debat ekonomi indonesia salah  jokowi tp salah pemimpin2  jd utk gemar 02 salah jokowi ya krn bos udah bilang salah jokowi  mantap pilih  jokowi   prabowosalahkansby
negatif,yuuk ikut amal hadiahnya dengan mencoblos prabowo-sandi.  jadi presiden-wapres tanpa digaji itu 'gila' ! ,Yuuk ikut amal hadiahnya dengan mencoblos Prabowo-Sandi.  Jadi Presiden-Wapres Tanpa Digaji itu 'Gila' ! ,yuuk ikut amal hadiahnya dengan mencoblos prabowosandi  jadi presidenwapres tanpa digaji itu gila,97,13,"['yuuk', 'ikut', 'amal', 'hadiahnya', 'dengan', 'mencoblos', 'prabowo-sandi', '.', 'jadi', 'presiden-wapres', 'tanpa', 'digaji', 'itu', ""'gila"", ""'"", '!']","['yuuk', 'amal', 'hadiahnya', 'mencoblos', 'prabowo-sandi', '.', 'presiden-wapres', 'digaji', ""'gila"", ""'"", '!']","['yuuk', 'amal', 'hadiah', 'coblos', 'prabowo-sandi', '', 'presiden-wapres', 'gaji', 'gila', '', '']",yuuk amal hadiah coblos prabowo-sandi  presiden-wapres gaji gila  
positif,"kalau pak prabowo dan bang sandi tak ambil gaji jika terpilih nanti, dan seluruh gajinya akan diserahkan kepada fakir miskin dan dhuafa.. maka saya berjanji untuk  terus membersamai orang tua dalam berjuang untuk...  https://www.facebook.com/1314455819/posts/10218671796488784/â â€¦","Kalau Pak Prabowo dan Bang Sandi tak ambil gaji jika terpilih nanti, dan seluruh gajinya akan diserahkan kepada fakir miskin dan Dhuafa.. maka saya berjanji untuk  terus membersamai orang tua dalam berjuang untuk...  https://www.facebook.com/1314455819/posts/10218671796488784/Â â€¦",kalau pak prabowo dan bang sandi tak ambil gaji jika terpilih nanti dan seluruh gajinya akan diserahkan kepada fakir miskin dan dhuafa maka saya berjanji untuk  terus membersamai orang tua dalam berjuang untuk  httpswwwfacebookcompostsâ â,238,35,"['kalau', 'pak', 'prabowo', 'dan', 'bang', 'sandi', 'tak', 'ambil', 'gaji', 'jika', 'terpilih', 'nanti', ',', 'dan', 'seluruh', 'gajinya', 'akan', 'diserahkan', 'kepada', 'fakir', 'miskin', 'dan', 'dhuafa', '..', 'maka', 'saya', 'berjanji', 'untuk', 'terus', 'membersamai', 'orang', 'tua', 'dalam', 'berjuang', 'untuk', '...', 'https', ':', '//www.facebook.com/1314455819/posts/10218671796488784/â', 'â€¦']","['prabowo', 'bang', 'sandi', 'ambil', 'gaji', 'terpilih', ',', 'gajinya', 'diserahkan', 'fakir', 'miskin', 'dhuafa', '..', 'berjanji', 'membersamai', 'orang', 'tua', 'berjuang', '...', 'https', ':', '//www.facebook.com/1314455819/posts/10218671796488784/â', 'â€¦']","['prabowo', 'bang', 'sandi', 'ambil', 'gaji', 'pilih', '', 'gaji', 'serah', 'fakir', 'miskin', 'dhuafa', '', 'janji', 'sama', 'orang', 'tua', 'juang', '', 'https', '', 'www facebook com 1314455819 posts 10218671796488784', '']",prabowo bang sandi ambil gaji pilih  gaji serah fakir miskin dhuafa  janji sama orang tua juang  https  www facebook com 1314455819 posts 10218671796488784 
netral,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi  http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiâ â€¦ via @mediaindonesia,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ via @mediaindonesia,jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi  httpmediaindonesiacomreaddetailjokowidanrajasalmansepakattingkatkankerjasamaekonomiâ â via mediaindonesia,167,13,"['jokowi', 'dan', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerja', 'sama', 'ekonomi', 'http', ':', '//mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiâ', 'â€¦', 'via', '@', 'mediaindonesia']","['jokowi', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerja', 'ekonomi', 'http', ':', '//mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiâ', 'â€¦', 'via', '@', 'mediaindonesia']","['jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerja', 'ekonomi', 'http', '', 'mediaindonesia com read detail 229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi', '', 'via', '', 'mediaindonesia']",jokowi raja salman sepakat tingkat kerja ekonomi http  mediaindonesia com read detail 229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi  via  mediaindonesia
positif,tapi yang pasti aku lebih tertarik sama programnya jokowi terutama yang trans sumatera. karna aku mau bgt ekonomi sumatera jauh berkembang dr sekarang.,Tapi yang pasti aku lebih tertarik sama programnya jokowi terutama yang trans sumatera. Karna aku mau bgt ekonomi sumatera jauh berkembang dr sekarang.,tapi yang pasti aku lebih tertarik sama programnya jokowi terutama yang trans sumatera karna aku mau bgt ekonomi sumatera jauh berkembang dr sekarang,149,23,"['tapi', 'yang', 'pasti', 'aku', 'lebih', 'tertarik', 'sama', 'programnya', 'jokowi', 'terutama', 'yang', 'trans', 'sumatera', '.', 'karna', 'aku', 'mau', 'bgt', 'ekonomi', 'sumatera', 'jauh', 'berkembang', 'dr', 'sekarang', '.']","['tertarik', 'programnya', 'jokowi', 'trans', 'sumatera', '.', 'karna', 'bgt', 'ekonomi', 'sumatera', 'berkembang', 'dr', '.']","['tarik', 'program', 'jokowi', 'trans', 'sumatera', '', 'karna', 'bgt', 'ekonomi', 'sumatera', 'kembang', 'dr', '']",tarik program jokowi trans sumatera  karna bgt ekonomi sumatera kembang dr 
positif,rakyat indonesia bangga mempunyai bapak jokowi yang dihargai oleh raja arab saudi. terima kasih bapak....  https://twitter.com/jokowi/status/1117443800907931648â â€¦,Rakyat Indonesia bangga mempunyai Bapak Jokowi yang dihargai oleh Raja arab saudi. Terima kasih Bapak....  https://twitter.com/jokowi/status/1117443800907931648Â â€¦,rakyat indonesia bangga mempunyai bapak jokowi yang dihargai oleh raja arab saudi terima kasih bapak  httpstwittercomjokowistatusâ â,132,17,"['rakyat', 'indonesia', 'bangga', 'mempunyai', 'bapak', 'jokowi', 'yang', 'dihargai', 'oleh', 'raja', 'arab', 'saudi', '.', 'terima', 'kasih', 'bapak', '....', 'https', ':', '//twitter.com/jokowi/status/1117443800907931648â', 'â€¦']","['rakyat', 'indonesia', 'bangga', 'jokowi', 'dihargai', 'raja', 'arab', 'saudi', '.', 'terima', 'kasih', '....', 'https', ':', '//twitter.com/jokowi/status/1117443800907931648â', 'â€¦']","['rakyat', 'indonesia', 'bangga', 'jokowi', 'harga', 'raja', 'arab', 'saudi', '', 'terima', 'kasih', '', 'https', '', 'twitter com jokowi status 1117443800907931648', '']",rakyat indonesia bangga jokowi harga raja arab saudi  terima kasih  https  twitter com jokowi status 1117443800907931648 
positif,"nasionalisme beliau luar biasa didunia internasional, dalam beberapa hari ingin pemilu beliau masih saja berkunjung dan memberikan solusi kerja sama perkembangan ekonomi indonesia yang akan datang, mantab bapak jokowidodo lanjutkan","Nasionalisme beliau luar biasa didunia internasional, dalam beberapa hari ingin pemilu beliau masih saja berkunjung dan memberikan solusi kerja sama perkembangan ekonomi indonesia yang akan datang, mantab bapak jokowidodo lanjutkan",nasionalisme beliau luar biasa didunia internasional dalam beberapa hari ingin pemilu beliau masih saja berkunjung dan memberikan solusi kerja sama perkembangan ekonomi indonesia yang akan datang mantab bapak jokowidodo lanjutkan,229,30,"['nasionalisme', 'beliau', 'luar', 'biasa', 'didunia', 'internasional', ',', 'dalam', 'beberapa', 'hari', 'ingin', 'pemilu', 'beliau', 'masih', 'saja', 'berkunjung', 'dan', 'memberikan', 'solusi', 'kerja', 'sama', 'perkembangan', 'ekonomi', 'indonesia', 'yang', 'akan', 'datang', ',', 'mantab', 'bapak', 'jokowidodo', 'lanjutkan']","['nasionalisme', 'beliau', 'didunia', 'internasional', ',', 'pemilu', 'beliau', 'berkunjung', 'solusi', 'kerja', 'perkembangan', 'ekonomi', 'indonesia', ',', 'mantab', 'jokowidodo', 'lanjutkan']","['nasionalisme', 'beliau', 'dunia', 'internasional', '', 'milu', 'beliau', 'kunjung', 'solusi', 'kerja', 'kembang', 'ekonomi', 'indonesia', '', 'mantab', 'jokowidodo', 'lanjut']",nasionalisme beliau dunia internasional  milu beliau kunjung solusi kerja kembang ekonomi indonesia  mantab jokowidodo lanjut
netral,7. jokowi juga mampu mengimbangi serangan prabosan soal mikro. dia bahkan sengaja menyeret prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro. disini sandi mengalami kesalahan fatal dengan menyebut big data untuk e-ktp.,7. Jokowi juga mampu mengimbangi serangan Prabosan soal mikro. Dia bahkan sengaja menyeret Prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro. Disini sandi mengalami kesalahan fatal dengan menyebut big data untuk e-KTP.,jokowi juga mampu mengimbangi serangan prabosan soal mikro dia bahkan sengaja menyeret prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro disini sandi mengalami kesalahan fatal dengan menyebut big data untuk ektp,249,36,"['7.', 'jokowi', 'juga', 'mampu', 'mengimbangi', 'serangan', 'prabosan', 'soal', 'mikro', '.', 'dia', 'bahkan', 'sengaja', 'menyeret', 'prabosan', 'dengan', 'visi', 'makro', 'nya', 'dibidang', 'ekonomi', 'digital', 'dan', 'membahasnya', 'dari', 'sisi', 'mikro', '.', 'disini', 'sandi', 'mengalami', 'kesalahan', 'fatal', 'dengan', 'menyebut', 'big', 'data', 'untuk', 'e-ktp', '.']","['7.', 'jokowi', 'mengimbangi', 'serangan', 'prabosan', 'mikro', '.', 'sengaja', 'menyeret', 'prabosan', 'visi', 'makro', 'nya', 'dibidang', 'ekonomi', 'digital', 'membahasnya', 'sisi', 'mikro', '.', 'sandi', 'mengalami', 'kesalahan', 'fatal', 'menyebut', 'big', 'data', 'e-ktp', '.']","['7', 'jokowi', 'imbang', 'serang', 'prabosan', 'mikro', '', 'sengaja', 'seret', 'prabosan', 'visi', 'makro', 'nya', 'bidang', 'ekonomi', 'digital', 'bahas', 'sisi', 'mikro', '', 'sandi', 'alami', 'salah', 'fatal', 'sebut', 'big', 'data', 'e-ktp', '']",7 jokowi imbang serang prabosan mikro  sengaja seret prabosan visi makro nya bidang ekonomi digital bahas sisi mikro  sandi alami salah fatal sebut big data e-ktp 
netral,"gas normal"" aja 3kg @18rb bbm aman"" saja,malah setara harga seluruh indonesia ga seperti dulu.itu artinya keadilan sosial bagi seluruh rakyat indonesia sembako normal"" aja,mas saya ini jualan makanan jadi setiap hari belanja ke pasar, belanja ga,bilang mahalðÿ˜‚ ojo dumehðÿ™","Gas normal"" aja 3kg @18rb Bbm aman"" saja,malah setara harga seluruh indonesia ga seperti dulu.itu artinya keadilan sosial bagi seluruh rakyat indonesia Sembako normal"" aja,mas saya ini jualan makanan jadi setiap hari belanja ke pasar, Belanja ga,bilang mahalðŸ ̃‚ Ojo dumehðŸTM",gas normal aja kg rb bbm aman sajamalah setara harga seluruh indonesia ga seperti duluitu artinya keadilan sosial bagi seluruh rakyat indonesia sembako normal ajamas saya ini jualan makanan jadi setiap hari belanja ke pasar belanja gabilang mahalðÿ  ojo dumehðÿtm,263,40,"['gas', 'normal', ""''"", 'aja', '3kg', '@', '18rb', 'bbm', 'aman', ""''"", 'saja', ',', 'malah', 'setara', 'harga', 'seluruh', 'indonesia', 'ga', 'seperti', 'dulu.itu', 'artinya', 'keadilan', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia', 'sembako', 'normal', ""''"", 'aja', ',', 'mas', 'saya', 'ini', 'jualan', 'makanan', 'jadi', 'setiap', 'hari', 'belanja', 'ke', 'pasar', ',', 'belanja', 'ga', ',', 'bilang', 'mahalðÿ˜‚', 'ojo', 'dumehðÿ™\x8f']","['gas', 'normal', ""''"", 'aja', '3kg', '@', '18rb', 'bbm', 'aman', ""''"", ',', 'setara', 'harga', 'indonesia', 'ga', 'dulu.itu', 'keadilan', 'sosial', 'rakyat', 'indonesia', 'sembako', 'normal', ""''"", 'aja', ',', 'mas', 'jualan', 'makanan', 'belanja', 'pasar', ',', 'belanja', 'ga', ',', 'bilang', 'mahalðÿ˜‚', 'ojo', 'dumehðÿ™\x8f']","['gas', 'normal', '', 'aja', '3kg', '', '18rb', 'bbm', 'aman', '', '', 'tara', 'harga', 'indonesia', 'ga', 'dulu itu', 'adil', 'sosial', 'rakyat', 'indonesia', 'sembako', 'normal', '', 'aja', '', 'mas', 'jual', 'makan', 'belanja', 'pasar', '', 'belanja', 'ga', '', 'bilang', 'mahal', 'ojo', 'dumeh']",gas normal  aja 3kg  18rb bbm aman   tara harga indonesia ga dulu itu adil sosial rakyat indonesia sembako normal  aja  mas jual makan belanja pasar  belanja ga  bilang mahal ojo dumeh
netral,"prabowo sebut ekonomi indonesia salah arah karena presiden sebelum jokowi, kader demokrat : kita keluar koalisi  http://dlvr.it/r2nxqwâ  pic.twitter.com/41j78tx8gg","Prabowo Sebut Ekonomi Indonesia Salah Arah Karena Presiden Sebelum Jokowi, Kader Demokrat : Kita Keluar Koalisi  http://dlvr.it/R2nxQwÂ  pic.twitter.com/41j78tX8GG",prabowo sebut ekonomi indonesia salah arah karena presiden sebelum jokowi kader demokrat  kita keluar koalisi  httpdlvritrnxqwâ  pictwittercomjtxgg,147,17,"['prabowo', 'sebut', 'ekonomi', 'indonesia', 'salah', 'arah', 'karena', 'presiden', 'sebelum', 'jokowi', ',', 'kader', 'demokrat', ':', 'kita', 'keluar', 'koalisi', 'http', ':', '//dlvr.it/r2nxqwâ', 'pic.twitter.com/41j78tx8gg']","['prabowo', 'ekonomi', 'indonesia', 'salah', 'arah', 'presiden', 'jokowi', ',', 'kader', 'demokrat', ':', 'koalisi', 'http', ':', '//dlvr.it/r2nxqwâ', 'pic.twitter.com/41j78tx8gg']","['prabowo', 'ekonomi', 'indonesia', 'salah', 'arah', 'presiden', 'jokowi', '', 'kader', 'demokrat', '', 'koalisi', 'http', '', 'dlvr it r2nxqw', 'pic twitter com 41j78tx8gg']",prabowo ekonomi indonesia salah arah presiden jokowi  kader demokrat  koalisi http  dlvr it r2nxqw pic twitter com 41j78tx8gg
positif,"do u want to test ur vice president, sir? ðÿ˜  saat ini hanya @prabowo @sandiuno solusi utk indonesia. mau harga bhn pokok terjangkau, lapangan kerja tersedia, kesejahteraan dan status guru lbh baik, tenaga medis & pasien di perbaiki, maka #tusukprabowosandi ðÿ¤—ðÿ¤—ðÿ¤—ðÿ¤—ðÿ˜ðÿ˜ðÿ˜ðÿ˜","Do u want to test ur Vice President, sir? ðŸ ̃  Saat ini hanya @prabowo @sandiuno solusi utk Indonesia. Mau harga bhn pokok terjangkau, lapangan kerja tersedia, kesejahteraan dan status guru lbh baik, tenaga medis & pasien di perbaiki, maka #TusukPrabowoSandi ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ ̃ðŸ ̃ðŸ ̃ðŸ ̃",do u want to test ur vice president sir ðÿ   saat ini hanya prabowo sandiuno solusi utk indonesia mau harga bhn pokok terjangkau lapangan kerja tersedia kesejahteraan dan status guru lbh baik tenaga medis  pasien di perbaiki maka tusukprabowosandi ðÿðÿðÿðÿðÿ ðÿ ðÿ ðÿ,267,43,"['do', 'u', 'want', 'to', 'test', 'ur', 'vice', 'president', ',', 'sir', '?', 'ðÿ˜\x81', 'saat', 'ini', 'hanya', '@', 'prabowo', '@', 'sandiuno', 'solusi', 'utk', 'indonesia', '.', 'mau', 'harga', 'bhn', 'pokok', 'terjangkau', ',', 'lapangan', 'kerja', 'tersedia', ',', 'kesejahteraan', 'dan', 'status', 'guru', 'lbh', 'baik', ',', 'tenaga', 'medis', '&', 'pasien', 'di', 'perbaiki', ',', 'maka', '#', 'tusukprabowosandi', 'ðÿ¤—ðÿ¤—ðÿ¤—ðÿ¤—ðÿ˜\x8dðÿ˜\x8dðÿ˜\x8dðÿ˜\x8d']","['do', 'u', 'want', 'to', 'test', 'ur', 'vice', 'president', ',', 'sir', '?', 'ðÿ˜\x81', '@', 'prabowo', '@', 'sandiuno', 'solusi', 'utk', 'indonesia', '.', 'harga', 'bhn', 'pokok', 'terjangkau', ',', 'lapangan', 'kerja', 'tersedia', ',', 'kesejahteraan', 'status', 'guru', 'lbh', ',', 'tenaga', 'medis', '&', 'pasien', 'perbaiki', ',', '#', 'tusukprabowosandi', 'ðÿ¤—ðÿ¤—ðÿ¤—ðÿ¤—ðÿ˜\x8dðÿ˜\x8dðÿ˜\x8dðÿ˜\x8d']","['do', 'u', 'want', 'to', 'test', 'ur', 'vice', 'president', '', 'sir', '', '', '', 'prabowo', '', 'sandiuno', 'solusi', 'utk', 'indonesia', '', 'harga', 'bhn', 'pokok', 'jangkau', '', 'lapang', 'kerja', 'sedia', '', 'sejahtera', 'status', 'guru', 'lbh', '', 'tenaga', 'medis', '', 'pasien', 'baik', '', '', 'tusukprabowosandi', '']",do u want to test ur vice president  sir    prabowo  sandiuno solusi utk indonesia  harga bhn pokok jangkau  lapang kerja sedia  sejahtera status guru lbh  tenaga medis  pasien baik   tusukprabowosandi 
netral,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi  http://rri.co.id/post/berita/661551/nasional/presiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomi.htmlâ â€¦ lewat @berita_rri,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  http://rri.co.id/post/berita/661551/nasional/presiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomi.htmlÂ â€¦ lewat @berita_rri,presiden jokowi dan raja salman sepakat tingkatkan kerjasama ekonomi  httprricoidpostberitanasionalpresiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomihtmlâ â lewat berita_rri,191,13,"['presiden', 'jokowi', 'dan', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerjasama', 'ekonomi', 'http', ':', '//rri.co.id/post/berita/661551/nasional/presiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomi.htmlâ', 'â€¦', 'lewat', '@', 'berita_rri']","['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkatkan', 'kerjasama', 'ekonomi', 'http', ':', '//rri.co.id/post/berita/661551/nasional/presiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomi.htmlâ', 'â€¦', '@', 'berita_rri']","['presiden', 'jokowi', 'raja', 'salman', 'sepakat', 'tingkat', 'kerjasama', 'ekonomi', 'http', '', 'rri co id post berita 661551 nasional presiden jokowi dan raja salman sepakat tingkat kerjasama ekonomi html', '', '', 'berita rri']",presiden jokowi raja salman sepakat tingkat kerjasama ekonomi http  rri co id post berita 661551 nasional presiden jokowi dan raja salman sepakat tingkat kerjasama ekonomi html   berita rri
positif,"alhamdulillah, dalam membangun ekonomi dan pemerataan yang adil pasti akan mengalami batu aral dan pasti akan ada pihak yang merasa jadi korban.... tapi apa yang bapak kerjakan dan lakukan saat ini saya percaya dan yakin suatu saat anak dan cucu saya yang merasakannya","Alhamdulillah, dalam membangun ekonomi dan pemerataan yang adil pasti akan mengalami batu aral dan pasti akan ada pihak yang merasa jadi korban.... tapi apa yang bapak kerjakan dan lakukan saat ini saya percaya dan yakin suatu saat anak dan cucu saya yang merasakannya",alhamdulillah dalam membangun ekonomi dan pemerataan yang adil pasti akan mengalami batu aral dan pasti akan ada pihak yang merasa jadi korban tapi apa yang bapak kerjakan dan lakukan saat ini saya percaya dan yakin suatu saat anak dan cucu saya yang merasakannya,263,43,"['alhamdulillah', ',', 'dalam', 'membangun', 'ekonomi', 'dan', 'pemerataan', 'yang', 'adil', 'pasti', 'akan', 'mengalami', 'batu', 'aral', 'dan', 'pasti', 'akan', 'ada', 'pihak', 'yang', 'merasa', 'jadi', 'korban', '....', 'tapi', 'apa', 'yang', 'bapak', 'kerjakan', 'dan', 'lakukan', 'saat', 'ini', 'saya', 'percaya', 'dan', 'yakin', 'suatu', 'saat', 'anak', 'dan', 'cucu', 'saya', 'yang', 'merasakannya']","['alhamdulillah', ',', 'membangun', 'ekonomi', 'pemerataan', 'adil', 'mengalami', 'batu', 'aral', 'korban', '....', 'kerjakan', 'lakukan', 'percaya', 'anak', 'cucu', 'merasakannya']","['alhamdulillah', '', 'bangun', 'ekonomi', 'perata', 'adil', 'alami', 'batu', 'aral', 'korban', '', 'kerja', 'laku', 'percaya', 'anak', 'cucu', 'rasa']",alhamdulillah  bangun ekonomi perata adil alami batu aral korban  kerja laku percaya anak cucu rasa
positif,udah jelas unggul @prabowo dong. menang telak.....!!! ekonomi memang jagonya pak @sandiuno.,Udah jelas unggul @prabowo dong. MENANG TELAK.....!!! EKONOMI MEMANG JAGONYA PAK @sandiuno.,udah jelas unggul prabowo dong menang telak ekonomi memang jagonya pak sandiuno,79,12,"['udah', 'jelas', 'unggul', '@', 'prabowo', 'dong', '.', 'menang', 'telak', '.....', '!', '!', '!', 'ekonomi', 'memang', 'jagonya', 'pak', '@', 'sandiuno', '.']","['udah', 'unggul', '@', 'prabowo', '.', 'menang', 'telak', '.....', '!', '!', '!', 'ekonomi', 'jagonya', '@', 'sandiuno', '.']","['udah', 'unggul', '', 'prabowo', '', 'menang', 'telak', '', '', '', '', 'ekonomi', 'jago', '', 'sandiuno', '']",udah unggul  prabowo  menang telak     ekonomi jago  sandiuno 
netral,jika terpilih prabowo-sandi akan sumbangkan gajinya untuk anak yatim dan dhuafa  http://bit.ly/2gpaerdâ ,Jika Terpilih Prabowo-Sandi akan Sumbangkan Gajinya untuk Anak Yatim dan Dhuafa  http://bit.ly/2GpAeRdÂ ,jika terpilih prabowosandi akan sumbangkan gajinya untuk anak yatim dan dhuafa  httpbitlygpaerdâ,96,12,"['jika', 'terpilih', 'prabowo-sandi', 'akan', 'sumbangkan', 'gajinya', 'untuk', 'anak', 'yatim', 'dan', 'dhuafa', 'http', ':', '//bit.ly/2gpaerdâ']","['terpilih', 'prabowo-sandi', 'sumbangkan', 'gajinya', 'anak', 'yatim', 'dhuafa', 'http', ':', '//bit.ly/2gpaerdâ']","['pilih', 'prabowo-sandi', 'sumbang', 'gaji', 'anak', 'yatim', 'dhuafa', 'http', '', 'bit ly 2gpaerd']",pilih prabowo-sandi sumbang gaji anak yatim dhuafa http  bit ly 2gpaerd
positif,"ekonomi salah satu kebangkitan bangsa,teruskan perjuagan pak prabowo_sandi,kami dari padang lawas,sumattra utara (rajuddin harahap)selalu bersama 02.pak prabowo-sandi do'a dan dukugan sama2 kita do'akan,menjadi pak presiden dan wakil presiden thn 2019,amin.","Ekonomi salah satu kebangkitan bangsa,teruskan perjuagan pak prabowo_sandi,kami dari padang lawas,sumattra utara (rajuddin harahap)selalu bersama 02.pak prabowo-sandi do'a dan dukugan sama2 kita do'akan,menjadi pak presiden dan wakil presiden thn 2019,amin.",ekonomi salah satu kebangkitan bangsateruskan perjuagan pak prabowo_sandikami dari padang lawassumattra utara rajuddin harahapselalu bersama pak prabowosandi doa dan dukugan sama kita doakanmenjadi pak presiden dan wakil presiden thn amin,238,30,"['ekonomi', 'salah', 'satu', 'kebangkitan', 'bangsa', ',', 'teruskan', 'perjuagan', 'pak', 'prabowo_sandi', ',', 'kami', 'dari', 'padang', 'lawas', ',', 'sumattra', 'utara', '(', 'rajuddin', 'harahap', ')', 'selalu', 'bersama', '02.pak', 'prabowo-sandi', 'do', ""'"", 'a', 'dan', 'dukugan', 'sama2', 'kita', ""do'akan"", ',', 'menjadi', 'pak', 'presiden', 'dan', 'wakil', 'presiden', 'thn', '2019', ',', 'amin', '.']","['ekonomi', 'salah', 'kebangkitan', 'bangsa', ',', 'teruskan', 'perjuagan', 'prabowo_sandi', ',', 'padang', 'lawas', ',', 'sumattra', 'utara', '(', 'rajuddin', 'harahap', ')', '02.pak', 'prabowo-sandi', 'do', ""'"", 'a', 'dukugan', 'sama2', ""do'akan"", ',', 'presiden', 'wakil', 'presiden', 'thn', '2019', ',', 'amin', '.']","['ekonomi', 'salah', 'bangkit', 'bangsa', '', 'terus', 'perjuagan', 'prabowo sandi', '', 'padang', 'lawas', '', 'sumattra', 'utara', '', 'rajuddin', 'harahap', '', '02 pak', 'prabowo-sandi', 'do', '', 'a', 'dukugan', 'sama2', 'do akan', '', 'presiden', 'wakil', 'presiden', 'thn', '2019', '', 'amin', '']",ekonomi salah bangkit bangsa  terus perjuagan prabowo sandi  padang lawas  sumattra utara  rajuddin harahap  02 pak prabowo-sandi do  a dukugan sama2 do akan  presiden wakil presiden thn 2019  amin 
